2023-03-14 08:01:32.759 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 17144 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 08:23:36.935 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 2412 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 08:23:36.941 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 08:23:55.687 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 20.595 seconds (JVM running for 22.528)
2023-03-14 08:26:38.526 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 30084 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 08:26:38.530 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 08:26:56.757 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 20.096 seconds (JVM running for 22.148)
2023-03-14 08:27:16.301 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:27:17.801 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:36:06.540 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:36:06.631 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:45:21.995 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 20224 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 08:45:21.999 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 08:45:41.196 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 21.473 seconds (JVM running for 23.872)
2023-03-14 08:45:43.223 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:45:44.791 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:45:52.626 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:45:52.736 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:45:56.975 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:45:57.104 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:47:05.649 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 14956 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 08:47:05.653 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 08:47:24.117 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 20.265 seconds (JVM running for 22.452)
2023-03-14 08:47:24.509 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:47:26.060 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:49:22.532 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 24392 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 08:49:22.538 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 08:49:44.136 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 23.667 seconds (JVM running for 26.037)
2023-03-14 08:50:01.106 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 15256 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 08:50:01.112 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 08:50:23.212 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 24.167 seconds (JVM running for 26.622)
2023-03-14 08:50:25.352 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:50:26.901 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 08:55:57.218 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 28088 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 08:55:57.223 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 08:56:16.453 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 21.543 seconds (JVM running for 23.873)
2023-03-14 09:04:48.353 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:04:49.576 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:06:19.057 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 30220 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 09:06:19.063 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 09:06:39.929 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 22.866 seconds (JVM running for 24.981)
2023-03-14 09:06:40.495 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:06:42.000 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:08:42.073 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 11124 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 09:08:42.077 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 09:09:08.539 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 28.64 seconds (JVM running for 31.511)
2023-03-14 09:09:08.982 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:09:10.574 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:11:19.675 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 3108 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 09:11:19.681 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 09:11:39.298 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 21.454 seconds (JVM running for 24.561)
2023-03-14 09:11:54.428 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:11:55.961 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:14:57.569 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 26288 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 09:14:57.571 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 09:15:19.849 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 24.69 seconds (JVM running for 27.464)
2023-03-14 09:15:23.022 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:15:24.401 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:18:46.957 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 20776 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 09:18:46.964 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 09:19:08.321 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 23.568 seconds (JVM running for 26.725)
2023-03-14 09:19:08.667 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:19:10.399 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:20:21.705 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Starting JavaCoffeeApplication using Java 17.0.6 on LAPTOP-UITGDS1O with PID 29588 (C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee\target\classes started by farah_a3 in C:\Users\farah_a3\Downloads\Alyasari_Farah_JavaCoffee_CaseStudy\JavaCoffee)
2023-03-14 09:20:21.709 INFO  c.j.JavaCoffee.JavaCoffeeApplication - No active profile set, falling back to 1 default profile: "default"
2023-03-14 09:20:40.385 INFO  c.j.JavaCoffee.JavaCoffeeApplication - Started JavaCoffeeApplication in 20.456 seconds (JVM running for 22.553)
2023-03-14 09:20:46.893 INFO  c.j.J.s.controller.UserController - Login page displayed
2023-03-14 09:20:48.255 INFO  c.j.J.s.controller.UserController - Login page displayed
